"Date","Apple","Samsung","LG","Motorola","Huawei","Google","Unknown","ZTE","Xiaomi","Alcatel","OnePlus","Sony","HTC","Lenovo","Nokia","Oppo","Mobicel","Asus","Lanix","Sumsung","Kyocera","Coolpad","Hisense","RIM","Blu","T-Mobile","Essential","Lava","BBK","Telcel","Tecno","Infinix","Unimax","M4tel","BlackBerry","Realme","LeEco","Micromax","Meizu","Wiko","General Mobile","Ans","Other"
2019-01,52.28,26.42,5.77,4.95,2.22,2.03,1.38,0.95,0.95,0.41,0.23,0.25,0.36,0.31,0.18,0.24,0.18,0.08,0.06,0.02,0.07,0.08,0.05,0.07,0.06,0.02,0.01,0.03,0.03,0.02,0.03,0.02,0,0.01,0.01,0,0.01,0.02,0.01,0,0.02,0.01,0.15
2019-02,52.55,26.25,5.74,4.91,2.18,2.13,1.48,0.88,0.96,0.38,0.24,0.23,0.35,0.3,0.19,0.23,0.2,0.07,0.06,0.02,0.06,0.08,0.05,0.07,0.05,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0,0.01,0,0,0.01,0.02,0.01,0,0.01,0.01,0.14
2019-03,49.7,26.84,6.61,4.76,2.41,2,1.37,1.18,0.91,0.66,0.4,0.46,0.32,0.28,0.25,0.27,0.17,0.19,0.13,0.09,0.11,0.06,0.11,0.09,0.08,0.05,0.05,0.03,0.03,0.03,0.03,0.02,0,0.02,0.02,0,0.02,0.01,0.01,0.01,0.01,0.02,0.2
2019-04,49.9,26.66,6.45,4.75,2.46,2.12,1.56,1.08,0.86,0.68,0.43,0.45,0.31,0.25,0.25,0.26,0.17,0.19,0.12,0.1,0.1,0.06,0.1,0.09,0.07,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0,0.02,0.02,0,0.02,0.01,0.01,0.01,0.01,0.02,0.18
2019-05,48.68,26.88,6.68,4.95,2.68,2.15,2.01,1.07,0.83,0.67,0.44,0.44,0.29,0.24,0.24,0.27,0.17,0.19,0.12,0.1,0.1,0.05,0.1,0.06,0.07,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0,0.02,0.02,0,0.02,0.02,0.01,0.01,0.01,0.01,0.18
2019-06,48.29,27.21,6.62,4.93,2.59,2.31,2.29,1.1,0.82,0.65,0.44,0.38,0.26,0.24,0.23,0.23,0.16,0.16,0.12,0.11,0.11,0.05,0.09,0.06,0.07,0.05,0.04,0.03,0.02,0.03,0.02,0.01,0,0.02,0.02,0,0.02,0.01,0.01,0.01,0.01,0.01,0.16
2019-07,50.11,26.19,6.21,5.01,2.68,2.26,1.88,1.02,0.86,0.59,0.43,0.37,0.26,0.25,0.24,0.23,0.18,0.15,0.12,0.11,0.08,0.05,0.1,0.07,0.06,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0,0.02,0.02,0,0.02,0.01,0.01,0.01,0.01,0.01,0.17
2019-08,50.43,25.51,6.26,5.01,2.66,2.34,1.77,0.99,1,0.81,0.45,0.35,0.25,0.24,0.25,0.27,0.2,0.15,0.1,0.11,0.08,0.04,0.09,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.18
2019-09,50.02,26.33,6.06,4.94,3.54,2.23,1.2,0.88,0.94,0.75,0.5,0.33,0.23,0.21,0.25,0.22,0.18,0.13,0.1,0.1,0.07,0.09,0.08,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.17
2019-10,48.29,27.95,6.13,4.88,3.81,2.25,1.25,0.82,0.91,0.71,0.53,0.3,0.21,0.2,0.25,0.2,0.18,0.12,0.09,0.1,0.07,0.12,0.08,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.15
2019-11,50.47,27.42,5.8,4.45,3.45,2.29,1.08,0.77,0.83,0.64,0.52,0.27,0.18,0.18,0.23,0.19,0.17,0.11,0.07,0.09,0.09,0.13,0.06,0.04,0.04,0.05,0.03,0.02,0.02,0.01,0.02,0.02,0.04,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0,0.13
2019-12,51.24,27.74,5.78,4.31,2.99,2.37,0.97,0.69,0.71,0.6,0.54,0.23,0.16,0.14,0.21,0.15,0.13,0.09,0.05,0.09,0.11,0.15,0.04,0.04,0.03,0.07,0.03,0.01,0.01,0.01,0.01,0.02,0.05,0.01,0.02,0.03,0.01,0,0.01,0.02,0.01,0,0.11
