"Date","Samsung","Apple","Xiaomi","Huawei","Oppo","Vivo","Realme","Motorola","Unknown","OnePlus","LG","Tecno","Infinix","Google","Nokia","Sony","Lenovo","Asus","Itel","General Mobile","ZTE","HTC","Alcatel","BBK","Infinex","Honor","Casper","T-Mobile","Vestel","TCL","Lava","Reeder","Gionee","Meizu","Micromax","Sharp","Vodafone","Wiko","Hisense","Kyocera","Mixc","Coolpad","Sumsung","Other"
2022-01,27.18,29.49,11.54,6.64,5.29,4.26,2.92,2.42,2.19,1.07,1.21,0.85,0.83,0.78,0.52,0.44,0.46,0.36,0.23,0.11,0.12,0.13,0.1,0.11,0.08,0.04,0.04,0.04,0.04,0.03,0.06,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.21
2022-02,27.68,28.29,11.61,6.41,5.36,4.19,3,2.91,2.17,1.04,1.38,0.94,0.91,0.76,0.54,0.43,0.45,0.35,0.26,0.1,0.12,0.12,0.1,0.11,0.09,0.05,0.03,0.04,0.03,0.03,0.06,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.2
2022-03,28.22,27.57,12.24,6.53,5.25,4.12,2.99,2.66,2.25,1.04,1.26,0.93,0.85,0.75,0.54,0.45,0.43,0.35,0.25,0.14,0.11,0.12,0.1,0.1,0.08,0.05,0.05,0.04,0.04,0.03,0.05,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.2
2022-04,27.94,27.68,12.18,6.18,5.37,4.25,3.09,2.62,2.55,1.05,1.18,0.94,0.86,0.81,0.54,0.46,0.42,0.35,0.26,0.1,0.11,0.12,0.09,0.1,0.08,0.05,0.03,0.05,0.03,0.03,0.05,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.18
2022-05,28.25,27.83,12.64,6.25,5.37,4.08,3.04,2.42,2.25,1.04,1.09,0.9,0.84,0.77,0.51,0.43,0.38,0.32,0.23,0.19,0.11,0.12,0.09,0.08,0.08,0.05,0.06,0.04,0.06,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.17
2022-06,28.24,27.22,13.05,6.09,5.76,4.3,3.26,2.35,2.12,1.04,1.03,0.85,0.87,0.73,0.5,0.4,0.37,0.29,0.22,0.2,0.1,0.1,0.08,0.08,0.08,0.05,0.07,0.05,0.06,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.16
2022-07,28.17,27.5,12.86,6.34,5.39,4.28,3.1,2.41,2.62,1.02,1.01,0.82,0.77,0.75,0.49,0.35,0.35,0.26,0.2,0.2,0.1,0.08,0.08,0.1,0.07,0.06,0.07,0.05,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.15
2022-08,28.76,27.83,12.8,6.03,5.14,3.95,2.94,2.48,2.54,1.02,1,0.96,0.86,0.74,0.49,0.35,0.35,0.24,0.22,0.21,0.11,0.09,0.09,0.07,0.08,0.06,0.07,0.05,0.06,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.15
2022-09,28.41,27.8,13.02,5.64,5.32,4.29,3.16,2.36,2.31,1.07,0.93,1.02,0.92,0.73,0.48,0.32,0.34,0.23,0.25,0.2,0.11,0.08,0.09,0.07,0.08,0.08,0.08,0.06,0.06,0.05,0.03,0.06,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.2
2022-10,28.21,28.41,12.73,5.27,5.53,4.31,3.16,2.33,2.19,1.11,0.85,1.09,0.96,0.77,0.45,0.31,0.31,0.21,0.26,0.18,0.11,0.07,0.09,0.06,0.07,0.09,0.09,0.07,0.05,0.07,0.03,0.09,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.26
2022-11,28.33,27.48,12.97,4.98,6.28,4.59,3.37,2.3,2.16,1.12,0.78,1.02,0.98,0.72,0.45,0.29,0.3,0.19,0.25,0.17,0.1,0.06,0.08,0.06,0.07,0.09,0.08,0.06,0.05,0.07,0.03,0.09,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.29
2022-12,27.38,26.98,12.35,5.25,6.4,5.07,3.68,2.25,3.28,1.21,0.71,0.98,1,0.75,0.43,0.27,0.29,0.19,0.24,0.1,0.1,0.05,0.07,0.08,0.08,0.12,0.05,0.05,0.03,0.06,0.03,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.26
