"Date","Nokia","Unknown","Samsung","RIM","Apple","Sony","LG","HTC","Huawei","Alcatel","ZTE","Vodafone","Motorola","Google","T-Mobile","Acer","Spice","Micromax","Lenovo","Pantech","Other"
2013-01,54.73,12.05,15.3,4.34,6.37,2.57,1.74,1.32,0.64,0.22,0.22,0.1,0.13,0.1,0.05,0.06,0,0.01,0.01,0.01,0.05
2013-02,48.48,11.5,15.3,11.82,6.18,2.34,1.61,1.25,0.6,0.25,0.19,0.08,0.12,0.1,0.06,0.06,0,0.01,0,0.01,0.05
2013-03,48.16,12.15,16.08,10.08,6.49,2.44,1.64,1.35,0.64,0.28,0.19,0.08,0.12,0.11,0.05,0.06,0,0.01,0,0.01,0.06
2013-04,48.07,12.93,16.46,8.89,6.4,2.47,1.67,1.38,0.71,0.34,0.19,0.08,0.11,0.11,0.06,0.05,0,0.02,0.01,0.01,0.06
2013-05,47.31,13.76,16.38,9.18,6.27,2.4,1.65,1.33,0.71,0.33,0.18,0.08,0.1,0.12,0.06,0.05,0,0.02,0.01,0.01,0.05
2013-06,46.96,14.78,16.21,9.21,5.84,2.24,1.61,1.31,0.74,0.43,0.19,0.08,0.09,0.12,0.07,0.04,0,0.02,0.01,0.01,0.05
2013-07,46.54,15.54,15.53,9.7,5.6,2.14,1.6,1.27,0.79,0.6,0.21,0.09,0.09,0.11,0.07,0.04,0,0.02,0.01,0.01,0.05
2013-08,44.86,15.93,15.85,10.66,5.42,2.16,1.6,1.33,0.84,0.66,0.22,0.08,0.09,0.11,0.06,0.04,0,0.02,0.01,0.01,0.04
2013-09,45.07,19.5,14.79,9.72,4.49,1.78,1.58,1.24,0.75,0.45,0.2,0.07,0.08,0.09,0.08,0.03,0,0.02,0.01,0.01,0.04
2013-10,46.06,25.95,12.71,6.78,2.38,1.71,1.58,1,0.75,0.52,0.18,0.07,0.07,0.06,0.08,0.03,0,0.02,0.01,0.01,0.02
2013-11,42.61,17.39,16.62,12.14,3.29,2.3,2.08,1.05,0.91,0.71,0.32,0.17,0.09,0.07,0.06,0.03,0.08,0.02,0.02,0.01,0.04
2013-12,40.69,18.42,17.82,11.24,3.73,2.07,2.03,1.23,1.09,0.78,0.29,0.18,0.09,0.08,0.06,0.03,0.09,0.02,0.02,0.01,0.04
